codigo,nombre,precio
PROD-001,Apple iPhone 15 Pro Max 256GB,S/5599.00
PROD-002,Apple iPhone 15 128GB,S/3799.00
PROD-003,Samsung Galaxy S24 Ultra 512GB,S/5299.00
PROD-004,Samsung Galaxy A55 128GB,S/1399.00
PROD-005,Xiaomi Redmi Note 13 Pro 256GB,S/999.00
PROD-006,Xiaomi Poco X6 Pro 512GB,S/1299.00
PROD-007,Google Pixel 8 128GB,S/2899.00
PROD-008,Motorola Moto G84 256GB,S/899.00
PROD-009,Samsung Galaxy A15 128GB,S/699.00
PROD-010,OnePlus 12 256GB,S/3299.00
PROD-011,Apple MacBook Air M2 13 pulgadas 256GB,S/4999.00
PROD-012,Apple MacBook Pro 14 pulgadas M3 512GB,S/8999.00
PROD-013,Dell XPS 13 9340 Intel Core i7,S/6499.00
PROD-014,HP Pavilion 15 Intel Core i5,S/2799.00
PROD-015,Lenovo IdeaPad Slim 3 Ryzen 5,S/1999.00
PROD-016,ASUS ROG Strix G16 RTX 4060,S/7499.00
PROD-017,Lenovo Legion 5 Pro RTX 4070,S/8299.00
PROD-018,Acer Aspire 5 Intel Core i5,S/2299.00
PROD-019,HP Omen 16 RTX 4060,S/6999.00
PROD-020,Lenovo ThinkPad E14 Gen 5,S/3499.00
